geo,year,sm_participation,inflation,unemployment,cci,Facebook,Instagram,YouTube,LinkedIn,ent_share,prof_share,ent_minus_prof
EL,2015,43.91,0.3895993901922745,24.991666666666664,97.545435,,,,,0.0,0.0,0.0
EL,2016,46.65,0.2868472116763776,23.900000000000002,96.289605,,,,,0.0,0.0,0.0
EL,2017,49.97,0.9674434255909636,21.833333333333332,96.72131,,,,,0.0,0.0,0.0
EL,2018,53.03,0.6332277953674526,19.758333333333333,98.53843833333333,,,,,0.0,0.0,0.0
EL,2019,56.69,1.0514985924821918,17.866666666666667,101.76052,,,,,0.0,0.0,0.0
EL,2020,59.41,-2.392462105694393,17.608333333333334,100.0672975,,,,,0.0,0.0,0.0
EL,2021,62.05,4.356585243011835,14.799999999999999,99.70351333333333,,,,,0.0,0.0,0.0
EL,2022,67.03,7.5852638352638335,12.433333333333332,97.68853333333334,,,,,0.0,0.0,0.0
EL,2023,68.1,3.6859813084112236,11.041666666666666,99.054365,,,,,0.0,0.0,0.0
EL,2024,68.67,2.942024805307164,10.141666666666667,98.32191999999999,,,,,0.0,0.0,0.0
ES,2013,45.92,0.30507915567281607,26.099999999999998,95.909125,85.2675,0.0,1.9941666666666666,0.1758333333333333,87.26166666666667,0.1758333333333333,87.08583333333333
ES,2014,51.11,-1.1344019728730004,24.45,99.23013583333334,87.4575,0.0,0.5033333333333333,0.13,87.96083333333333,0.13,87.83083333333333
ES,2015,50.93,-0.1247193813918579,22.058333333333334,102.126975,91.58166666666666,0.0,0.04083333333333333,0.04583333333333334,91.6225,0.04583333333333334,91.57666666666667
ES,2016,53.79,1.406926406926412,19.633333333333333,101.85509166666667,95.07416666666667,0.02,0.04666666666666667,0.051666666666666666,95.14083333333333,0.051666666666666666,95.08916666666666
ES,2017,57.17,1.2232164846892601,17.25,102.77026666666666,92.74833333333333,0.7558333333333334,0.8233333333333334,0.06583333333333334,94.3275,0.06583333333333334,94.26166666666667
ES,2018,58.06,1.2246553122465587,15.258333333333333,102.32166666666666,71.06666666666666,3.111666666666667,6.649166666666667,0.225,80.8275,0.225,80.6025
ES,2019,58.61,0.8492909222017397,14.116666666666667,101.82249999999999,78.975,5.3525,2.2591666666666668,0.12833333333333333,86.58666666666666,0.12833333333333333,86.45833333333333
ES,2020,64.68,-0.5720187495034557,15.541666666666666,97.14844166666667,83.85166666666667,4.16,1.8341666666666665,0.10166666666666667,89.84583333333335,0.10166666666666667,89.74416666666667
ES,2021,64.66,6.568118258090294,14.924999999999999,100.03209500000001,86.19,3.5383333333333336,1.4400000000000002,0.16666666666666666,91.16833333333334,0.16666666666666666,91.00166666666667
ES,2022,63.22,5.480992727000067,13.049999999999999,96.08874250000001,90.7725,3.5708333333333333,0.8266666666666667,0.10083333333333333,95.17,0.10083333333333333,95.06916666666666
ES,2023,64.49,3.2769405743531266,12.191666666666668,98.15721083333334,89.14999999999999,5.371666666666667,0.6891666666666666,0.10333333333333333,95.21083333333333,0.10333333333333333,95.1075
ES,2024,64.7,2.835707894555717,11.358333333333334,99.62972333333333,86.42166666666667,6.2875000000000005,1.4933333333333332,0.20833333333333334,94.2025,0.20833333333333334,93.99416666666667
EU27_2020,2013,40.78,,11.6,,,,,,,,
EU27_2020,2014,43.61,,11.016666666666666,,,,,,,,
EU27_2020,2015,47.9,,10.191666666666666,,,,,,,,
EU27_2020,2016,49.24,,9.266666666666667,,,,,,,,
EU27_2020,2017,51.8,,8.266666666666667,,,,,,,,
EU27_2020,2018,53.73,,7.391666666666667,,,,,,,,
EU27_2020,2019,54.16,,6.816666666666666,,,,,,,,
EU27_2020,2020,57.26,,7.2250000000000005,,,,,,,,
EU27_2020,2021,56.84,,7.05,,,,,,,,
EU27_2020,2022,58.11,,6.208333333333333,,,,,,,,
EU27_2020,2023,59.31,,6.066666666666666,,,,,,,,
EU27_2020,2024,64.82,,5.958333333333333,,,,,,,,
FI,2013,51.31,1.9334229993275054,8.283333333333333,99.07343583333333,70.38916666666667,0.0,5.739166666666667,0.2791666666666667,76.12833333333333,0.2791666666666667,75.84916666666668
FI,2014,55.56,0.5525317499587734,8.758333333333333,98.65892166666667,77.36583333333333,0.0,1.2466666666666668,0.06333333333333334,78.6125,0.06333333333333334,78.54916666666666
FI,2015,58.17,-0.254244238497503,9.441666666666666,99.13988083333334,74.60166666666667,0.0,0.09583333333333333,0.0775,74.6975,0.0775,74.62
FI,2016,61.66,1.093570136490718,8.908333333333333,100.20685416666667,74.7675,0.4666666666666666,0.22083333333333333,0.17916666666666667,75.455,0.17916666666666667,75.27583333333332
